"Año","Nivel de experiencia","Tipo de contrato","Rol","Moneda de pago","Salario en USD","Residencia del empleado","Modalidad de trabajo","Ubicación de la empresa","Tamaño de la compañía"
"2023","Senior","Tiempo completo","Otro","Euro",85847,"España","Remota","España","Grande"
"2023","Intermedio","Término fijo","Otro","Dólar americano",30000,"Estados Unidos","Remota","Estados Unidos","Pequeña"
"2023","Intermedio","Término fijo","Otro","Dólar americano",25500,"Estados Unidos","Remota","Estados Unidos","Pequeña"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",175000,"Canadá","Remota","Canadá","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",120000,"Canadá","Remota","Canadá","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",222200,"Estados Unidos","Presencial","Estados Unidos","Grande"
"2023","Senior","Tiempo completo","Otro","Dólar americano",136000,"Estados Unidos","Presencial","Estados Unidos","Grande"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",219000,"Canadá","Presencial","Canadá","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",141000,"Canadá","Presencial","Canadá","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",147100,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",90700,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",130000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",100000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Junior","Tiempo completo","Otro","Dólar americano",213660,"Estados Unidos","Presencial","Estados Unidos","Grande"
"2023","Junior","Tiempo completo","Otro","Dólar americano",130760,"Estados Unidos","Presencial","Estados Unidos","Grande"
"2023","Senior","Tiempo completo","Otro","Dólar americano",147100,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",90700,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",170000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",150000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Analista de datos","Dólar americano",150000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Analista de datos","Dólar americano",110000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",275000,"Alemania","Presencial","Alemania","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",174000,"Alemania","Presencial","Alemania","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",230000,"Reino Unido","Remota","Reino Unido","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",143200,"Reino Unido","Remota","Reino Unido","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",225000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",156400,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",200000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",130000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",90000,"Canadá","Presencial","Canadá","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",72000,"Canadá","Presencial","Canadá","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",253200,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",90700,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",184590,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Ingeniero de datos","Dólar americano",162500,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Ingeniero de datos","Dólar americano",130000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Analista de datos","Dólar americano",105380,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Analista de datos","Dólar americano",64500,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Junior","Tiempo completo","Otro","Dólar americano",100000,"Otro","Remota","Otro","Grande"
"2023","Junior","Tiempo completo","Otro","Dólar americano",30000,"Otro","Remota","Otro","Grande"
"2022","Intermedio","Tiempo completo","Ingeniero de aprendizaje automático","Rupia india",20984,"India","Parcialmente remota","India","Grande"
"2023","Junior","Tiempo completo","Otro","Dólar americano",204620,"Estados Unidos","Presencial","Estados Unidos","Grande"
"2023","Junior","Tiempo completo","Otro","Dólar americano",110680,"Estados Unidos","Presencial","Estados Unidos","Grande"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",270703,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",221484,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",212750,"Estados Unidos","Remota","Estados Unidos","Mediana"
